# lumi Mchi Mphi nEvent
55095 1 100 272
55102 40 100 270
55325 40 100 254
55346 1 50 266
55564 1 250 232
55680 40 100 258
55722 55 100 244
56265 1 150 251
69353 49 100 265
69562 1 100 250
69567 1 150 253
69575 55 100 261
69796 1 100 275
69808 1 300 240
69381 1 100 266
69384 20 100 257
69423 45 100 253
69766 1 250 241
69769 55 100 261
69775 30 100 262
53673 1 300 217
53701 1 100 258
53778 1 250 242
53788 20 100 253
56302 1 350 226
# lumi Mchi Mphi nEvent
28346 20 100 271
28452 49 100 237
26373 1 100 262
26593 1 500 212
28610 1 100 276
26276 1 50 280
26340 1 50 287
28630 1 100 256
26539 1 200 242
30432 1 100 263
28621 1 200 220
30554 55 100 271
30701 1 250 230
31348 1 100 258
34638 1 50 276
34612 1 250 254
36715 1 200 225
34814 1 100 240
34415 1 450 216
34508 51 100 271
34573 1 350 244
34566 1 250 252
34619 1 100 272
34758 1 400 217
34772 20 100 244
34742 1 500 229
34766 1 500 214
34775 1 300 217
34806 49 100 261
38853 1 100 254
36696 1 450 224
36616 1 500 231
36624 1 100 275
38724 20 100 265
63385 1 50 274
63719 30 100 267
38621 1 350 230
38882 1 350 236
63148 1 350 228
63295 40 100 264
36623 1 100 279
36821 40 100 255
36844 49 100 257
36504 1 100 268
36140 40 100 256
36736 1 100 231
36542 30 100 257
36574 1 400 241
36612 1 250 215
36753 1 300 254
37507 1 400 232
65233 1 100 273
67400 1 50 283
64157 20 100 262
63210 30 100 249
63420 1 450 225
63409 1 100 269
63486 1 50 256
65869 1 100 259
68925 55 100 256
63169 45 100 251
63447 51 100 276
67239 55 100 266
65271 1 400 211
65473 55 100 245
65508 51 100 261
65205 1 150 282
67197 30 100 254
67297 20 100 242
67411 40 100 271
# lumi Mchi Mphi nEvent
13 1 100 258
132 1 250 243
228 1 100 251
235 20 100 280
259 1 100 253
278 1 100 260
283 1 350 244
533 20 100 260
25905 30 100 275
606 49 100 241
25936 1 500 228
25978 1 100 261
454 1 50 284
501 1 500 232
25748 1 50 266
25790 51 100 244
19976 20 100 267
25907 30 100 272
19412 1 100 265
53228 1 50 275
54718 49 100 258
56545 1 100 266
56622 1 450 233
56887 1 400 221
19880 1 100 261
54081 1 150 252
54100 1 100 265
54137 51 100 258
54169 1 150 260
54172 40 100 264
20230 40 100 255
20239 1 300 258
20243 1 50 274
20257 51 100 243
20266 1 350 239
20386 1 200 242
20699 1 150 275
20817 1 100 247
25030 1 150 250
25054 1 100 263
25499 30 100 276
32883 1 100 270
20932 1 50 257
25078 1 50 275
32903 1 400 227
25019 1 350 229
32426 1 450 248
32895 55 100 229
32948 1 350 243
25516 1 500 219
54158 1 50 252
54655 1 500 210
54723 40 100 247
54832 51 100 261
32145 40 100 272
32248 40 100 291
32370 1 400 229
32403 1 200 238
32626 1 100 256
32790 45 100 264
32468 45 100 245
32504 40 100 239
32586 1 50 248
32842 1 100 280
53028 1 50 282
53034 1 50 274
53038 1 50 290
69358 1 200 257
69386 40 100 257
69630 1 500 226
54089 1 350 227
54128 20 100 271
54159 51 100 258
54258 49 100 287
54517 1 450 226
54669 30 100 252
54982 1 100 279
56098 1 200 238
56113 1 100 282
56123 1 300 238
56185 1 150 253
56201 40 100 259
56935 1 100 267
695 1 50 285
55002 1 50 267
55599 20 100 275
55639 45 100 268
55652 49 100 268
69387 1 50 277
56842 1 50 255
56845 1 450 214
56853 1 100 278
69002 1 450 209
69011 1 200 228
69043 1 450 217
69064 1 450 202
69987 20 100 270
20267 1 150 270
32709 1 300 229
53460 1 100 275
53552 1 100 266
53553 1 200 256
53615 1 50 260
54201 1 100 257
54205 1 250 247
54290 1 100 266
54291 51 100 254
54295 1 300 242
54296 1 50 278
5458 1 500 218
8160 40 100 250
12966 1 100 235
22868 1 100 270
13105 1 100 263
13106 1 450 231
13108 20 100 260
13112 1 50 247
13113 1 200 226
1806 1 500 224
1809 1 100 259
1870 45 100 271
3017 20 100 251
3018 40 100 265
7076 45 100 261
3444 40 100 255
3560 1 50 255
4456 55 100 259
4458 1 150 255
4463 1 400 223
4466 1 300 234
4469 1 50 249
4532 1 50 247
6713 40 100 247
6714 20 100 256
6718 1 250 233
6149 1 200 229
6154 1 50 271
6156 1 50 277
6159 1 500 218
6144 1 150 267
6146 1 200 236
6147 1 50 250
6148 55 100 250
6161 1 500 216
6163 1 150 260
6165 1 50 279
6167 1 50 262
6168 1 300 220
6169 1 100 257
6329 51 100 269
6331 1 50 272
6334 1 450 228
6336 1 100 281
6337 1 450 219
6338 1 100 278
6370 51 100 259
6372 1 50 265
6374 1 100 263
6375 40 100 265
6390 49 100 240
6395 1 450 222
6399 1 50 270
6401 40 100 269
6402 1 500 232
6405 1 50 287
6443 1 400 230
6455 1 50 250
6456 1 200 243
6457 1 100 278
6458 1 100 252
6478 40 100 268
6479 1 250 250
6480 1 50 259
6481 1 250 231
6482 1 350 235
6485 1 300 250
6575 1 50 275
6576 30 100 269
6647 1 50 271
6648 45 100 238
6650 1 400 228
6656 1 50 242
6641 1 100 274
6642 1 500 218
6644 49 100 259
6649 51 100 251
6651 1 500 216
6670 20 100 238
6891 1 100 266
6892 1 400 232
6902 1 400 217
6903 30 100 264
6909 49 100 242
6910 20 100 260
7106 1 50 255
7108 40 100 236
7109 1 200 237
7110 45 100 267
7112 1 200 264
7137 1 400 224
7138 1 200 239
7139 1 50 277
7140 1 300 221
7142 1 300 241
7143 49 100 268
8012 55 100 233
8131 1 100 260
8304 1 150 260
8306 1 50 277
8308 1 350 233
8309 1 500 223
8310 1 500 225
8312 1 350 243
8460 1 350 217
8461 1 500 222
8462 1 200 260
8465 30 100 260
8468 1 50 262
8470 1 450 230
8874 1 100 242
8875 45 100 282
8878 1 50 261
8879 1 300 237
8880 51 100 245
8881 45 100 273
8891 1 450 239
8894 45 100 257
8896 1 350 230
8897 40 100 275
8900 1 50 241
8901 1 350 238
10252 1 350 230
10253 1 400 222
10254 1 300 214
10255 1 50 273
10327 1 250 244
10328 1 400 220
10400 1 500 214
10401 1 50 260
10402 1 50 255
10403 30 100 277
10465 20 100 238
10467 1 100 261
10469 1 200 231
10479 1 500 211
10480 1 100 267
10481 30 100 259
10482 1 450 225
10483 40 100 253
10484 1 200 246
10528 1 100 268
10546 1 50 251
10547 1 350 248
10548 40 100 268
10549 1 200 255
10550 1 300 235
10676 1 100 263
10677 1 400 224
10679 1 300 226
10680 45 100 247
10682 1 100 247
10683 20 100 243
10904 1 100 247
10905 30 100 247
10906 1 150 257
10908 1 50 271
10909 1 500 221
10912 1 350 247
10960 1 50 247
10961 1 500 207
10962 1 350 223
10963 1 100 261
10964 1 400 238
11095 1 350 221
11096 51 100 256
11097 51 100 257
11098 1 200 235
11100 1 200 244
11101 1 100 260
11120 1 400 231
11475 1 300 210
11693 51 100 251
11698 49 100 261
11699 1 450 206
12106 1 150 267
12109 1 500 211
12295 1 50 240
12296 1 450 222
12297 1 300 230
12325 20 100 264
12326 1 250 228
12327 20 100 259
12414 1 150 251
12415 45 100 237
12418 1 50 279
12419 40 100 247
12420 1 50 263
12422 1 450 201
12500 1 350 225
12503 1 300 242
12866 1 350 238
12874 40 100 257
12883 1 400 190
12919 30 100 269
12920 1 450 216
13303 55 100 248
13314 45 100 243
13315 30 100 230
13318 49 100 264
13663 1 400 218
18914 1 250 243
18915 30 100 257
18916 1 150 268
17133 1 150 253
17134 1 150 256
17135 1 300 238
17137 40 100 253
17138 1 200 231
17139 1 350 234
17219 51 100 236
17221 1 50 277
17222 45 100 255
17224 1 300 204
17227 1 100 250
17228 1 400 229
17406 55 100 257
17407 51 100 270
17409 1 100 275
17410 1 500 205
17413 1 500 204
17414 1 250 241
17757 1 200 216
18695 1 400 206
18696 1 500 220
18698 1 50 230
18946 1 50 256
18947 1 400 237
21427 1 300 223
21429 40 100 266
21431 1 300 235
21435 1 50 262
21439 20 100 243
21514 51 100 232
21516 1 50 265
21518 1 500 222
21520 1 100 279
21536 1 200 236
21653 1 50 267
21655 1 100 251
22636 1 350 218
22637 1 200 236
22639 1 50 262
22645 45 100 279
22647 1 150 249
22661 45 100 264
23281 1 500 216
23282 1 100 278
23288 51 100 263
23289 1 450 232
23291 49 100 255
23499 1 50 243
23506 45 100 256
23510 51 100 258
23511 1 300 211
23512 1 50 262
40398 1 200 250
41947 30 100 241
41949 1 200 258
41951 1 400 232
41966 1 400 211
42017 1 450 229
43544 1 100 244
43545 1 350 241
43548 1 50 254
43549 1 250 240
43552 1 450 238
43555 1 500 216
43572 20 100 245
43574 1 350 212
43575 1 100 265
43577 45 100 236
46023 1 500 226
46049 1 50 267
46783 1 50 255
46799 1 100 270
58289 1 500 237
